CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Bond Counsel Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
2005-0922,Dixon Unified School District,2005-0922.pdf (http://cdiacdocs.sto.ca.gov/2005-0922.pdf),SOLD,03/22/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,9560686,9560686,0,297750,General obligation bond,K-12 School Facility,Property tax revenues,5.592,,TIC,,,08/01/2015 12:00:00 AM,08/01/2043 12:00:00 AM,YES,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Citigroup Global Markets Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Kronick Moskovitz Tiedemann & Girard,,,,Wells Fargo Bank National Association,3.11,297750,0,0,0,228350,0,0,0,0,0,0,0,69400,0,0
1991-0335,Rio Vista Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/18/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,Redevelopment Agency,Project A,920000,920000,0,,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,,7.575,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Stone & Youngberg,,,,Urban Consultants,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1985-1642,Vallejo,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,11/27/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Glen Cove Community AD No 61,5100000,5100000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.908,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1994-0003,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/27/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Community Ctr/Theatre/library,15170000,1782618,13387382,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,4.918,,TIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1985-0806,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/18/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,2300000,2300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,5.3,NIC,,,,06/30/1986 12:00:00 AM,N/A,S:SP-1,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0.55,12650,,,,12650,,,,,,,,,,
1985-0970,"Solano Financing Corp(BENICIA, SOLANO CO, SOLANO COM",Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/26/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,Non-Profit Corporation (501(c)(3)),,7050000,7050000,0,,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,,,VAR,,,,,N/A,NOT RATED,M:Aaa/VMIG1,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Security Pacific Capital Markets Group,,,,,Jones Hall Hill & White,,,,,0,0,,,,105750,,,,,,,,,,
1990-0157,Vacaville,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/19/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Community Ctr/Theater/Library,13305000,13305000,0,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,7.169,NIC,,,,,N/A,S:A-(p),M:A(c),NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall Hill & White,,,,,0.37,49198.08,,,,139702.05,,,,,,,,,,
2001-2156,Vallejo City Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,01/30/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,61060000,65370,60994630,,General obligation bond,K-12 School Facility,Property tax revenues,,5.262,NIC,,,,08/01/2025 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Kinsell Newcomb & De Dios,,,,A Lopez & Associates,Best Best & Krieger LLP,,,,U.S. Bank National Association,,,,,,,,,,,,,,,,
2012-0481,Reclamation District No. 501,2012-0481.pdf (http://cdiacdocs.sto.ca.gov/2012-0481.pdf),SOLD,03/22/2012 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Special Districts,"Flood Control, Water Conservation District",John Deere Tractor,152205,152205,0,,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,,3.525,NIC,,,09/30/2012 12:00:00 AM,06/30/2017 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Kansas State Bank of Manhattan,,,,,,,,0,0,,,,,,,,,,,,,,
1999-1276,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/08/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,31710000,23053462,8656538,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,5.026,NIC,,,,11/15/2019 12:00:00 AM,N/A,S:AAA/A-,M:Aaa/A3,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Morgan Stanley & Co LLC,,,,The PFM Group/Public Financial Management Inc,Cox Castle & Nicholson,,,,US Trust Company of California NA,1.26,400182,,,,220384,,,,,,,,,,
1992-1357,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/28/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,55530000,55530000,0,,Public enterprise revenue bond,"Water Supply, Storage, Distribution",Public enterprise revenues,,6.491,NIC,,,,,N/A,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Unknown,Comp,Unknown,Donaldson Lufkin Jenrette,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,,0.27,150762.05,,,,0,,,,,,,,,,
2011-0137,Benicia,2011-0137.pdf (http://cdiacdocs.sto.ca.gov/2011-0137.pdf),SOLD,04/07/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Solar Financing,13195000,13195000,0,,Certificates of participation/leases,Power Generation/Transmission,General fund of issuing jurisdiction,5.895,,TIC,,,04/15/2017 12:00:00 AM,04/15/2036 12:00:00 AM,NO,S:AA+/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,Edward D Jones & Company,,,,Wulff Hansen & Company,Quint & Thimmig LLP,,,,U.S. Bank National Association,5.24,691177.89,,,,257412.5,,66440,47500,,35000,,2500,208375.97,14000,59949.42
2002-0310,Fairfield,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,03/25/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,1200000,1200000,0,,Certificates of participation/leases,Power Generation/Transmission,General fund of issuing jurisdiction,4.95,,TIC,,,,03/25/2012 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wells Fargo Institutional Securities,,,,,Jones Hall A Professional Law Corp,,,,,,,,,,,,,,,,,,,,
1987-0728,Vallejo,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/11/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Sky Valley Reg Park AD No 66,6400000,6400000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Tax increment,10.115,,TIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,Jones Hall Hill & White,,,,,2.8,179000,,,,224000,,,,,,,,,,
2008-0311,Fairfield CFD No 2007-1,2008-0311.pdf (http://cdiacdocs.sto.ca.gov/2008-0311.pdf),SOLD,03/14/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,Fairfield Commons,18095000,18095000,0,264210,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,7.051,,TIC,,,09/01/2018 12:00:00 AM,09/01/2038 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,2.64,478140,0,0,0,217140,0,0,115000,0,43000,0,5000,0,0,98000
2000-1134,Fairfield-Suisun Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/07/2000 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,K-14 Schools,K-12 School District,,10000000,10000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.32,NIC,,,,07/05/2001 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,Jones Hall A Professional Law Corp,,,,Solano County,0.26,26303,,,,,,,,,,,,,,
1995-1087,Rio Vista,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/19/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Summerset Rio Vista AD No 95-1,3055000,3055000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.509,NIC,,,,09/02/2025 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Altura Nelson & Co Inc,,,,,Jones Hall Hill & White,,,,First Trust of California NA,2.94,89728,,,,61100,,,,,,,,,,
1990-0886,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/23/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Green Valley Rd/Mangels Blvd Ext AD,21161045,21161045,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,8.055,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,257675.08,,,,,,,,,,
1993-1829,Fairfield Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/21/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,,83535000,11523481,72011519,,Revenue bond,"Redevelopment, Multiple Purposes",Tax increment,,5.404,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Guarantor Unknown,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0.07,62158,,,,730931,,,,,,,,,,
1991-1367,Benicia,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/01/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,13935000,1645000,12290000,,Certificates of participation/leases,"Water Supply, Storage, Distribution",Public enterprise revenues,,6.183,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Mark Pressman Associates,,,,Security Pacific,Jones Hall Hill & White,,,,,0,0,,,,200983.08,,,,,,,,,,
2008-0312,Fairfield CFD No 3,2008-0312.pdf (http://cdiacdocs.sto.ca.gov/2008-0312.pdf),SOLD,03/13/2008 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Mello-Roos,Community Facilities District,North Cordelia,15510000,15510000,0,156881,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,5.707,,TIC,,,09/01/2018 12:00:00 AM,09/01/2037 12:00:00 AM,NO,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,1.43,222070,0,0,0,108570,0,0,50000,0,30000,0,5000,0,13500,15000
1993-0965,Fairfield,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/16/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,,6600000,6600000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.65,NIC,,,,06/30/1994 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,Jones Hall Hill & White,,,,,0,0,,,,9174,,,,,,,,,,
1989-0884,Solano County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/02/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Counties,County Government,,22700000,0,22700000,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,7.42,NIC,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Grigsby Brandford & Company Inc,,,,,Alexander Millner & McGee,,,,,1.78,404752,,,,340500,,,,,,,,,,
1993-1587,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/07/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Sea Breeze Apts Series B,35000,0,35000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,8.921,NIC,,Federally Taxable,,05/01/1995 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Oth,Unknown,Neg,Unknown,Banc One Capital Corporation,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,,
1996-1881,Vallejo,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/22/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Solano,NO,NO,,Cities,City Government,Marine World,63465000,0,63465000,,Certificates of participation/leases,Recreation and Sports Facilities,Public enterprise revenues,7.13,,TIC,,,,02/01/2028 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,OConnor & Company Securities Inc,,,,Rod Gunn Associates Inc,Jones Hall Hill & White,,,,BNY Mellon Capital Markets LLC,1.2,760000,,,,951975,,,,,,,,,,
