country,year,sex,age,suicides,population, gdp,generation
Albania,1998,male,75+ years,3,25800,"2,707,123,772",G.I. Generation
Albania,1998,male,15-24 years,27,248800,"2,707,123,772",Generation X
Albania,1998,female,15-24 years,32,295600,"2,707,123,772",Generation X
Albania,1998,male,25-34 years,26,240400,"2,707,123,772",Generation X
Albania,1998,male,35-54 years,29,388200,"2,707,123,772",Boomers
Albania,1998,male,55-74 years,9,183800,"2,707,123,772",Silent
Albania,1998,female,25-34 years,10,275300,"2,707,123,772",Generation X
Albania,1998,female,55-74 years,6,188200,"2,707,123,772",Silent
Albania,1998,female,35-54 years,9,372100,"2,707,123,772",Boomers
Albania,1998,male,5-14 years,2,388400,"2,707,123,772",Millenials
Albania,1998,female,5-14 years,1,363800,"2,707,123,772",Millenials
Albania,1998,female,75+ years,0,42300,"2,707,123,772",G.I. Generation
Albania,1999,male,75+ years,3,25900,"3,414,760,915",G.I. Generation
Albania,1999,male,15-24 years,24,250600,"3,414,760,915",Generation X
Albania,1999,female,75+ years,4,42400,"3,414,760,915",G.I. Generation
Albania,1999,male,35-54 years,31,391100,"3,414,760,915",Boomers
Albania,1999,male,25-34 years,19,242300,"3,414,760,915",Generation X
Albania,1999,male,55-74 years,14,185200,"3,414,760,915",Silent
Albania,1999,female,15-24 years,19,296800,"3,414,760,915",Generation X
Albania,1999,female,25-34 years,13,276500,"3,414,760,915",Generation X
Albania,1999,female,55-74 years,6,188800,"3,414,760,915",Silent
Albania,1999,female,35-54 years,5,373600,"3,414,760,915",Boomers
Albania,1999,female,5-14 years,1,365200,"3,414,760,915",Millenials
Albania,1999,male,5-14 years,0,391300,"3,414,760,915",Millenials
Albania,2000,male,25-34 years,17,232000,"3,632,043,908",Generation X
Albania,2000,male,55-74 years,10,177400,"3,632,043,908",Silent
Albania,2000,female,75+ years,2,37800,"3,632,043,908",G.I. Generation
Albania,2000,male,75+ years,1,24900,"3,632,043,908",G.I. Generation
Albania,2000,female,15-24 years,6,263900,"3,632,043,908",Generation X
Albania,2000,male,15-24 years,5,240000,"3,632,043,908",Generation X
Albania,2000,female,35-54 years,5,332200,"3,632,043,908",Boomers
Albania,2000,female,25-34 years,3,245800,"3,632,043,908",Generation X
Albania,2000,male,35-54 years,4,374700,"3,632,043,908",Boomers
Albania,2000,male,5-14 years,1,374900,"3,632,043,908",Millenials
Albania,2000,female,5-14 years,0,324700,"3,632,043,908",Millenials
Albania,2000,female,55-74 years,0,168000,"3,632,043,908",Silent
Albania,2001,male,25-34 years,22,206484,"4,060,758,804",Generation X
Albania,2001,male,35-54 years,34,378826,"4,060,758,804",Boomers
Albania,2001,male,55-74 years,11,196670,"4,060,758,804",Silent
Albania,2001,female,75+ years,2,47254,"4,060,758,804",Silent
Albania,2001,male,15-24 years,10,256039,"4,060,758,804",Millenials
Albania,2001,female,15-24 years,9,271359,"4,060,758,804",Millenials
Albania,2001,female,35-54 years,12,370191,"4,060,758,804",Boomers
Albania,2001,male,75+ years,1,31044,"4,060,758,804",Silent
Albania,2001,female,55-74 years,6,189799,"4,060,758,804",Silent
Albania,2001,male,5-14 years,6,321556,"4,060,758,804",Millenials
Albania,2001,female,25-34 years,4,222771,"4,060,758,804",Generation X
Albania,2001,female,5-14 years,2,307356,"4,060,758,804",Millenials
Albania,2002,male,75+ years,4,31007,"4,435,078,648",Silent
Albania,2002,male,25-34 years,23,206286,"4,435,078,648",Generation X
Albania,2002,male,35-54 years,35,382139,"4,435,078,648",Boomers
Albania,2002,male,55-74 years,13,198130,"4,435,078,648",Silent
Albania,2002,male,15-24 years,15,263067,"4,435,078,648",Millenials
Albania,2002,female,15-24 years,14,275970,"4,435,078,648",Millenials
Albania,2002,female,35-54 years,15,375113,"4,435,078,648",Boomers
Albania,2002,female,25-34 years,7,223685,"4,435,078,648",Generation X
Albania,2002,female,75+ years,1,47407,"4,435,078,648",Silent
Albania,2002,female,55-74 years,4,191712,"4,435,078,648",Silent
Albania,2002,female,5-14 years,1,304850,"4,435,078,648",Millenials
Albania,2002,male,5-14 years,1,319473,"4,435,078,648",Millenials
Albania,2003,female,75+ years,6,49088,"5,746,945,913",Silent
Albania,2003,male,55-74 years,16,201520,"5,746,945,913",Silent
Albania,2003,male,35-54 years,28,386196,"5,746,945,913",Boomers
Albania,2003,male,15-24 years,15,273235,"5,746,945,913",Millenials
Albania,2003,female,15-24 years,14,283709,"5,746,945,913",Millenials
Albania,2003,female,55-74 years,9,195699,"5,746,945,913",Silent
Albania,2003,male,25-34 years,9,205433,"5,746,945,913",Generation X
Albania,2003,female,25-34 years,9,222941,"5,746,945,913",Generation X
Albania,2003,female,35-54 years,13,381760,"5,746,945,913",Boomers
Albania,2003,male,75+ years,1,32667,"5,746,945,913",Silent
Albania,2003,male,5-14 years,4,313204,"5,746,945,913",Millenials
Albania,2003,female,5-14 years,0,298477,"5,746,945,913",Millenials
Albania,2004,male,75+ years,4,35526,"7,314,865,176",Silent
Albania,2004,male,35-54 years,39,391767,"7,314,865,176",Boomers
Albania,2004,male,25-34 years,16,203938,"7,314,865,176",Generation X
Albania,2004,female,15-24 years,20,292268,"7,314,865,176",Millenials
Albania,2004,male,15-24 years,19,286768,"7,314,865,176",Millenials
Albania,2004,female,75+ years,3,50970,"7,314,865,176",Silent
Albania,2004,female,25-34 years,11,222389,"7,314,865,176",Generation X
Albania,2004,male,55-74 years,10,207202,"7,314,865,176",Silent
Albania,2004,female,35-54 years,17,391436,"7,314,865,176",Boomers
Albania,2004,female,55-74 years,3,203841,"7,314,865,176",Silent
Albania,2004,female,5-14 years,3,286705,"7,314,865,176",Millenials
Albania,2004,male,5-14 years,1,302181,"7,314,865,176",Millenials
Albania,2005,female,15-24 years,0,281922,"8,158,548,717",Millenials
Albania,2005,female,25-34 years,0,190745,"8,158,548,717",Generation X
Albania,2005,female,35-54 years,0,386513,"8,158,548,717",Boomers
Albania,2005,female,5-14 years,0,276559,"8,158,548,717",Millenials
Albania,2005,female,55-74 years,0,210998,"8,158,548,717",Silent
Albania,2005,female,75+ years,0,53191,"8,158,548,717",Silent
Albania,2005,male,15-24 years,0,281675,"8,158,548,717",Millenials
Albania,2005,male,25-34 years,0,177519,"8,158,548,717",Generation X
Albania,2005,male,35-54 years,0,380242,"8,158,548,717",Boomers
Albania,2005,male,5-14 years,0,291367,"8,158,548,717",Millenials
Albania,2005,male,55-74 years,0,214118,"8,158,548,717",Silent
Albania,2005,male,75+ years,0,38471,"8,158,548,717",Silent
Albania,2006,female,15-24 years,0,283138,"8,992,642,349",Millenials
Albania,2006,female,25-34 years,0,186391,"8,992,642,349",Generation X
Albania,2006,female,35-54 years,0,388746,"8,992,642,349",Boomers
Albania,2006,female,5-14 years,0,267316,"8,992,642,349",Millenials
Albania,2006,female,55-74 years,0,215907,"8,992,642,349",Silent
Albania,2006,female,75+ years,0,56011,"8,992,642,349",Silent
Albania,2006,male,15-24 years,0,286679,"8,992,642,349",Millenials
Albania,2006,male,25-34 years,0,174092,"8,992,642,349",Generation X
Albania,2006,male,35-54 years,0,379076,"8,992,642,349",Boomers
Albania,2006,male,5-14 years,0,282678,"8,992,642,349",Millenials
Albania,2006,male,55-74 years,0,219360,"8,992,642,349",Silent
Albania,2006,male,75+ years,0,40782,"8,992,642,349",Silent
Albania,2007,male,75+ years,8,42366,"10,701,011,897",Silent
Albania,2007,male,35-54 years,29,378626,"10,701,011,897",Boomers
Albania,2007,male,55-74 years,14,224160,"10,701,011,897",Silent
Albania,2007,female,75+ years,3,57404,"10,701,011,897",Silent
Albania,2007,male,25-34 years,9,172494,"10,701,011,897",Generation X
Albania,2007,female,15-24 years,13,281080,"10,701,011,897",Millenials
Albania,2007,male,15-24 years,13,288349,"10,701,011,897",Millenials
Albania,2007,female,25-34 years,8,183629,"10,701,011,897",Generation X
Albania,2007,female,55-74 years,9,221120,"10,701,011,897",Silent
Albania,2007,female,35-54 years,14,391811,"10,701,011,897",Boomers
Albania,2007,male,5-14 years,4,272497,"10,701,011,897",Generation Z
Albania,2007,female,5-14 years,0,256808,"10,701,011,897",Generation Z
Albania,2008,male,25-34 years,21,172855,"12,881,352,688",Generation X
Albania,2008,male,35-54 years,37,377119,"12,881,352,688",Boomers
Albania,2008,male,55-74 years,21,228672,"12,881,352,688",Silent
Albania,2008,female,75+ years,5,59369,"12,881,352,688",Silent
Albania,2008,female,15-24 years,20,276073,"12,881,352,688",Millenials
Albania,2008,female,25-34 years,9,182663,"12,881,352,688",Generation X
Albania,2008,female,35-54 years,19,393832,"12,881,352,688",Boomers
Albania,2008,male,75+ years,2,44574,"12,881,352,688",Silent
Albania,2008,male,15-24 years,11,286702,"12,881,352,688",Millenials
Albania,2008,female,55-74 years,7,226448,"12,881,352,688",Silent
Albania,2008,male,5-14 years,7,262464,"12,881,352,688",Generation Z
Albania,2008,female,5-14 years,1,246288,"12,881,352,688",Generation Z
Albania,2009,female,15-24 years,0,270003,"12,044,212,904",Millenials
Albania,2009,female,25-34 years,0,182712,"12,044,212,904",Generation X
Albania,2009,female,35-54 years,0,394286,"12,044,212,904",Boomers
Albania,2009,female,5-14 years,0,236174,"12,044,212,904",Generation Z
Albania,2009,female,55-74 years,0,233302,"12,044,212,904",Silent
Albania,2009,female,75+ years,0,61582,"12,044,212,904",Silent
Albania,2009,male,15-24 years,0,283448,"12,044,212,904",Millenials
Albania,2009,male,25-34 years,0,174955,"12,044,212,904",Generation X
Albania,2009,male,35-54 years,0,374365,"12,044,212,904",Boomers
Albania,2009,male,5-14 years,0,253007,"12,044,212,904",Generation Z
Albania,2009,male,55-74 years,0,234570,"12,044,212,904",Silent
Albania,2009,male,75+ years,0,47331,"12,044,212,904",Silent
Albania,2010,male,55-74 years,20,241852,"11,926,953,259",Silent
Albania,2010,male,35-54 years,20,371611,"11,926,953,259",Generation X
Albania,2010,male,25-34 years,9,179720,"11,926,953,259",Generation X
Albania,2010,male,75+ years,2,50767,"11,926,953,259",Silent
Albania,2010,male,15-24 years,10,279508,"11,926,953,259",Millenials
Albania,2010,female,25-34 years,6,183579,"11,926,953,259",Generation X
Albania,2010,female,75+ years,2,64415,"11,926,953,259",Silent
Albania,2010,female,35-54 years,12,394593,"11,926,953,259",Generation X
Albania,2010,female,55-74 years,7,241491,"11,926,953,259",Silent
Albania,2010,female,15-24 years,6,263581,"11,926,953,259",Millenials
Albania,2010,female,5-14 years,2,223969,"11,926,953,259",Generation Z
Albania,2010,male,5-14 years,0,240939,"11,926,953,259",Generation Z
Antigua and Barbuda,1985,female,15-24 years,0,7709,"240,923,926",Generation X
Antigua and Barbuda,1985,female,25-34 years,0,6344,"240,923,926",Boomers
Antigua and Barbuda,1985,female,35-54 years,0,6173,"240,923,926",Silent
Antigua and Barbuda,1985,female,5-14 years,0,7339,"240,923,926",Generation X
Antigua and Barbuda,1985,female,55-74 years,0,3778,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0,949,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0,7667,"240,923,926",Generation X
Antigua and Barbuda,1985,male,25-34 years,0,6194,"240,923,926",Boomers
Antigua and Barbuda,1985,male,35-54 years,0,5970,"240,923,926",Silent
Antigua and Barbuda,1985,male,5-14 years,0,7304,"240,923,926",Generation X
Antigua and Barbuda,1985,male,55-74 years,0,2723,"240,923,926",G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0,424,"240,923,926",G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0,7668,"290,440,148",Generation X
Antigua and Barbuda,1986,female,25-34 years,0,6209,"290,440,148",Boomers
Antigua and Barbuda,1986,female,35-54 years,0,6101,"290,440,148",Silent
Antigua and Barbuda,1986,female,5-14 years,0,6907,"290,440,148",Generation X
Antigua and Barbuda,1986,female,55-74 years,0,3764,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0,1014,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0,7563,"290,440,148",Generation X
Antigua and Barbuda,1986,male,25-34 years,0,6023,"290,440,148",Boomers
Antigua and Barbuda,1986,male,35-54 years,0,5947,"290,440,148",Silent
Antigua and Barbuda,1986,male,5-14 years,0,6827,"290,440,148",Generation X
Antigua and Barbuda,1986,male,55-74 years,0,2771,"290,440,148",G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0,476,"290,440,148",G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0,7583,"337,174,852",Generation X
Antigua and Barbuda,1987,female,25-34 years,0,6101,"337,174,852",Boomers
Antigua and Barbuda,1987,female,35-54 years,0,6059,"337,174,852",Silent
Antigua and Barbuda,1987,female,5-14 years,0,6623,"337,174,852",Generation X
Antigua and Barbuda,1987,female,55-74 years,0,3738,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0,1081,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0,7421,"337,174,852",Generation X
Antigua and Barbuda,1987,male,25-34 years,0,5893,"337,174,852",Boomers
Antigua and Barbuda,1987,male,35-54 years,0,5927,"337,174,852",Silent
Antigua and Barbuda,1987,male,5-14 years,0,6499,"337,174,852",Generation X
Antigua and Barbuda,1987,male,55-74 years,0,2798,"337,174,852",G.I. Generation
Antigua and Barbuda,1987,male,75+ years,0,538,"337,174,852",G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,0,7413,"398,637,741",Generation X
Antigua and Barbuda,1988,female,25-34 years,0,6041,"398,637,741",Boomers
Antigua and Barbuda,1988,female,35-54 years,0,6021,"398,637,741",Silent
Antigua and Barbuda,1988,female,5-14 years,0,6527,"398,637,741",Generation X
Antigua and Barbuda,1988,female,55-74 years,0,3708,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,female,75+ years,0,1141,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,0,7209,"398,637,741",Generation X
Antigua and Barbuda,1988,male,25-34 years,0,5826,"398,637,741",Boomers
Antigua and Barbuda,1988,male,35-54 years,0,5907,"398,637,741",Silent
Antigua and Barbuda,1988,male,5-14 years,0,6355,"398,637,741",Generation X
Antigua and Barbuda,1988,male,55-74 years,0,2813,"398,637,741",G.I. Generation
Antigua and Barbuda,1988,male,75+ years,0,603,"398,637,741",G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,0,7152,"438,794,778",Generation X
Antigua and Barbuda,1989,female,25-34 years,0,6059,"438,794,778",Boomers
Antigua and Barbuda,1989,female,35-54 years,0,5969,"438,794,778",Silent
Antigua and Barbuda,1989,female,5-14 years,0,6621,"438,794,778",Generation X
Antigua and Barbuda,1989,female,55-74 years,0,3696,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,female,75+ years,0,1195,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,male,15-24 years,0,6927,"438,794,778",Generation X
Antigua and Barbuda,1989,male,25-34 years,0,5835,"438,794,778",Boomers
Antigua and Barbuda,1989,male,35-54 years,0,5862,"438,794,778",Silent
Antigua and Barbuda,1989,male,5-14 years,0,6403,"438,794,778",Generation X
Antigua and Barbuda,1989,male,55-74 years,0,2843,"438,794,778",G.I. Generation
Antigua and Barbuda,1989,male,75+ years,0,676,"438,794,778",G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,1,5799,"459,469,074",Silent
Antigua and Barbuda,1990,female,15-24 years,0,6827,"459,469,074",Generation X
Antigua and Barbuda,1990,female,25-34 years,0,6172,"459,469,074",Boomers
Antigua and Barbuda,1990,female,35-54 years,0,5895,"459,469,074",Silent
Antigua and Barbuda,1990,female,5-14 years,0,6877,"459,469,074",Generation X
Antigua and Barbuda,1990,female,55-74 years,0,3706,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,female,75+ years,0,1252,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,male,15-24 years,0,6598,"459,469,074",Generation X
Antigua and Barbuda,1990,male,25-34 years,0,5937,"459,469,074",Boomers
Antigua and Barbuda,1990,male,5-14 years,0,6611,"459,469,074",Generation X
Antigua and Barbuda,1990,male,55-74 years,0,2902,"459,469,074",G.I. Generation
Antigua and Barbuda,1990,male,75+ years,0,758,"459,469,074",G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,0,6595,"481,706,333",Generation X
Antigua and Barbuda,1991,female,25-34 years,0,6396,"481,706,333",Boomers
Antigua and Barbuda,1991,female,35-54 years,0,6198,"481,706,333",Boomers
Antigua and Barbuda,1991,female,5-14 years,0,7089,"481,706,333",Millenials
Antigua and Barbuda,1991,female,55-74 years,0,3665,"481,706,333",Silent
Antigua and Barbuda,1991,female,75+ years,0,1293,"481,706,333",G.I. Generation
Antigua and Barbuda,1991,male,15-24 years,0,6401,"481,706,333",Generation X
Antigua and Barbuda,1991,male,25-34 years,0,6156,"481,706,333",Boomers
Antigua and Barbuda,1991,male,35-54 years,0,6122,"481,706,333",Boomers
Antigua and Barbuda,1991,male,5-14 years,0,6818,"481,706,333",Millenials
Antigua and Barbuda,1991,male,55-74 years,0,2857,"481,706,333",Silent
Antigua and Barbuda,1991,male,75+ years,0,804,"481,706,333",G.I. Generation
Antigua and Barbuda,1992,female,15-24 years,0,6369,"499,281,148",Generation X
Antigua and Barbuda,1992,female,25-34 years,0,6650,"499,281,148",Boomers
Antigua and Barbuda,1992,female,35-54 years,0,6534,"499,281,148",Boomers
Antigua and Barbuda,1992,female,5-14 years,0,7311,"499,281,148",Millenials
Antigua and Barbuda,1992,female,55-74 years,0,3648,"499,281,148",Silent
Antigua and Barbuda,1992,female,75+ years,0,1339,"499,281,148",G.I. Generation
Antigua and Barbuda,1992,male,15-24 years,0,6221,"499,281,148",Generation X
Antigua and Barbuda,1992,male,25-34 years,0,6409,"499,281,148",Boomers
Antigua and Barbuda,1992,male,35-54 years,0,6497,"499,281,148",Boomers
Antigua and Barbuda,1992,male,5-14 years,0,7059,"499,281,148",Millenials
Antigua and Barbuda,1992,male,55-74 years,0,2851,"499,281,148",Silent
Antigua and Barbuda,1992,male,75+ years,0,853,"499,281,148",G.I. Generation
Antigua and Barbuda,1993,male,25-34 years,1,6668,"535,172,778",Boomers
Antigua and Barbuda,1993,female,15-24 years,0,6182,"535,172,778",Generation X
Antigua and Barbuda,1993,female,25-34 years,0,6914,"535,172,778",Boomers
Antigua and Barbuda,1993,female,35-54 years,0,6917,"535,172,778",Boomers
Antigua and Barbuda,1993,female,5-14 years,0,7529,"535,172,778",Millenials
Antigua and Barbuda,1993,female,55-74 years,0,3662,"535,172,778",Silent
Antigua and Barbuda,1993,female,75+ years,0,1386,"535,172,778",G.I. Generation
Antigua and Barbuda,1993,male,15-24 years,0,6069,"535,172,778",Generation X
Antigua and Barbuda,1993,male,35-54 years,0,6915,"535,172,778",Boomers
Antigua and Barbuda,1993,male,5-14 years,0,7298,"535,172,778",Millenials
Antigua and Barbuda,1993,male,55-74 years,0,2879,"535,172,778",Silent
Antigua and Barbuda,1993,male,75+ years,0,896,"535,172,778",G.I. Generation
Antigua and Barbuda,1994,female,15-24 years,0,6083,"589,429,593",Generation X
Antigua and Barbuda,1994,female,25-34 years,0,7151,"589,429,593",Boomers
Antigua and Barbuda,1994,female,35-54 years,0,7357,"589,429,593",Boomers
Antigua and Barbuda,1994,female,5-14 years,0,7722,"589,429,593",Millenials
Antigua and Barbuda,1994,female,55-74 years,0,3715,"589,429,593",Silent
Antigua and Barbuda,1994,female,75+ years,0,1437,"589,429,593",G.I. Generation
Antigua and Barbuda,1994,male,15-24 years,0,5976,"589,429,593",Generation X
Antigua and Barbuda,1994,male,25-34 years,0,6886,"589,429,593",Boomers
Antigua and Barbuda,1994,male,35-54 years,0,7359,"589,429,593",Boomers
Antigua and Barbuda,1994,male,5-14 years,0,7494,"589,429,593",Millenials
Antigua and Barbuda,1994,male,55-74 years,0,2935,"589,429,593",Silent
Antigua and Barbuda,1994,male,75+ years,0,929,"589,429,593",G.I. Generation
Antigua and Barbuda,1995,female,15-24 years,0,6099,"577,280,741",Generation X
Antigua and Barbuda,1995,female,25-34 years,0,7333,"577,280,741",Generation X
Antigua and Barbuda,1995,female,35-54 years,0,7851,"577,280,741",Boomers
Antigua and Barbuda,1995,female,5-14 years,0,7885,"577,280,741",Millenials
Antigua and Barbuda,1995,female,55-74 years,0,3808,"577,280,741",Silent
Antigua and Barbuda,1995,female,75+ years,0,1488,"577,280,741",G.I. Generation
Antigua and Barbuda,1995,male,15-24 years,0,5953,"577,280,741",Generation X
